Top250,MovieName,OtherName,Director,Year,Country,Type,Rating,EvaluationNum,quote
158,疯狂原始人,古鲁家族(港 / 台) ,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,8.7,622174,老少皆宜，这就是好莱坞动画的魅力。
159,三块广告牌,意外(台)/广告牌杀人事件(港),马丁·麦克唐纳 Martin McDonagh,2017,美国 英国,剧情 犯罪,8.7,607919,怼天怼地，你走后，她与世界为敌。
160,心迷宫,殡棺/The Coffin in the Mountain,忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,8.7,351963,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
161,哈利·波特与阿兹卡班的囚徒,哈利波特3：阿兹卡班的逃犯(港 / 台) ,Alfonso Cuarón,2004,英国 美国,奇幻 冒险,8.7,397984,不一样的导演，不一样的哈利·波特。
162,达拉斯买家俱乐部,续命枭雄(港)/药命俱乐部(台),让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,8.8,325264,Jared Leto的腿比女人还美！
163,萤火虫之墓,再见萤火虫(港)/萤火挽歌,高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,321622,幸福是生生不息，却难以触及的远。 
164,荒蛮故事,蛮荒故事/生命中最抓狂的小事(台),达米安·斯兹弗隆 Damián Szifron,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,300595,始于荒诞，止于更荒诞。
165,真爱至上,爱是您，爱是我(台)/真的恋爱了(港),理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,525306,爱，是个动词。
166,卢旺达饭店,卢安达饭店(台),特瑞·乔治 Terry George,2004,英国 南非 意大利,剧情 历史 战争,8.9,211430,当这个世界闭上双眼，他却敞开了怀抱。
167,贫民窟的百万富翁,一百万零一夜(港)/贫民百万富翁(台),丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国 美国,剧情 爱情,8.6,574546,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
168,东邪西毒,Ashes of Time,王家卫 Kar Wai Wong,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,437108,电影诗。
169,你的名字。,你的名字/君之名,新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,8.4,987926,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
170,记忆碎片,凶心人(港)/记忆拼图(台),克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,8.6,441970,一个针管引发的血案。
171,爆裂鼓手,鼓动真我(港)/进击的鼓手(台),达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐,8.7,399060,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
172,花样年华,In the Mood for Love,王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情,8.7,408699,偷情本没有这样美。
173,黑天鹅,夺命黑天鹅/霸王别鹅(豆友译名),达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,8.6,635511,黑暗之美。
174,一个叫欧维的男人决定去死,明天别再来敲门(台)/想死冇咁易(港),汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,8.8,264666,惠及一生的美丽。
175,忠犬八公物语,八千公物语/阿八的故事,Seijirô Kôyama,1987,日本,剧情,9.2,132735,养狗三日，便会对你终其一生。
176,黑客帝国3：矩阵革命,22世纪杀人网络3：惊变世纪(港)/廿二世纪杀人网络3：惊变世纪,Andy Wachowski / Larry Wachowski,2003,美国 澳大利亚,动作 科幻,8.7,299589,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
177,模仿游戏,解码游戏(港)/模拟游戏,莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,8.7,435311,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
178,哈利·波特与密室,哈利波特2：消失的密室(港 / 台) ,Chris Columbus,2002,美国 英国 德国,奇幻 冒险,8.6,416880,魔法的密室之门已打开...
179,头脑特工队,玩转脑朋友(港)/脑筋急转弯(台),彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,喜剧 动画 冒险,8.7,419890,愿我们都不用长大，每一座城堡都能永远存在。
